Transaction_ID,Transaction_Date,Transaction_TS,Store_ID,Customer_ID,Payment_Method,Total_Amount,Total_Discount,Line_Count,Batch_ID,Source_File
T00003462,2024-02-08,2024-02-08 15:13:36,S021,C001206,Online,74.51,0.0,5,gen_20251127_091606,transactions_header.csv
T00005735,04/04/24,2024-04-04 10:46:47,S019,NA,Online,53.41,8.01,1,gen_20251127_091606,transactions_header.csv
T00018824,2024-07-27,2024-07-27 21:31:42,S027,C002495,Card,18.5,0.93,1,gen_20251127_091607,transactions_header.csv
T00013223,01/06/24,2024-01-06 04:58:08,S010,NA,Card,53.82,5.38,2,gen_20251127_091607,transactions_header.csv
T00000035,2024-07-02,2024-07-02 07:30:46,S027,C003534,Card,58.6,,1,gen_20251127_091605,transactions_header.csv
T00007443,2024-10-16,2024-10-16 13:01:00,S004,C003413,Online,76.0,3.8,1,gen_20251127_091606,transactions_header.csv
T00019931,12/15/24,2024-12-15 08:18:17,S025,C001130,Card,35.7,5.36,1,gen_20251127_091607,transactions_header.csv
T00009955,02/04/24,2024-02-04 18:32:56,S010,C002029,Cash,51.4,2.57,2,gen_20251127_091606,transactions_header.csv
T00018419,2024-04-04,2024-04-04 20:10:39,S011,C002907,Card,84.61,4.23,3,gen_20251127_091607,transactions_header.csv
T00014719,2024-02-08,2024-02-08 01:01:53,S005,C001337,Online,31.74,,1,gen_20251127_091607,transactions_header.csv
T00016454,12/24/24,2024-12-24 21:59:45,S023,C003541,Online,34.37,1.72,5,gen_20251127_091607,transactions_header.csv
T00008648,01/01/24,2024-01-01 12:34:48,S020,C000091,Card,49.38,2.47,7,gen_20251127_091606,transactions_header.csv
T00008065,03/15/24,2024-03-15 22:17:03,S017,C004891,Online,2.75,0.0,5,gen_20251127_091606,transactions_header.csv
T00007748,01/25/24,2024-01-25 06:28:24,S014,C000607,cash,0,0.0,1,gen_20251127_091606,transactions_header.csv
T00004573,2024-02-05,2024-02-05 02:08:23,S003,C003686,Online,87.37,4.37,1,gen_20251127_091606,transactions_header.csv
T00012697,08/16/24,2024-08-16 03:44:03,S014,NA,Card,30.33,1.52,3,gen_20251127_091607,transactions_header.csv
T00005291,05/27/24,2024-05-27 17:52:12,S023,C000801,Cash,45.71,4.57,1,gen_20251127_091606,transactions_header.csv
T00004259,2024-03-08,2024-03-08 05:15:27,S012,C004322,Card,70.1,10.51,1,gen_20251127_091606,transactions_header.csv
T00017404,2024-11-13,2024-11-13 21:11:18,S015,C004088,Online,57.67,,1,gen_20251127_091607,transactions_header.csv
T00004169,08/23/24,2024-08-23 22:28:14,S023,C000501,Card,46.97,0.0,1,gen_20251127_091606,transactions_header.csv
T00009675,08/21/24,2024-08-21 02:13:21,S016,C003656,Cash,57.97,NA,2,gen_20251127_091606,transactions_header.csv
T00006919,06/06/24,2024-06-06 13:11:40,S009,C002148,Cash,39.83,5.97,2,gen_20251127_091606,transactions_header.csv
T00018558,2024-09-30,2024-09-30 04:02:03,S017,C003828,Cash,$23.78,3.57,3,gen_20251127_091607,transactions_header.csv
T00009101,2024-09-05,2024-09-05 00:53:00,S016,C004194,Card,19.1,1.91,2,gen_20251127_091606,transactions_header.csv
T00010883,10/21/24,2024-10-21 07:36:34,S020,C002712,Online,57.83,5.78,4,gen_20251127_091606,transactions_header.csv
T00010837,2024-11-24,2024-11-24 08:27:40,S012,,Cash,103.95,0.0,2,gen_20251127_091606,transactions_header.csv
T00006528,2024-11-21,2024-11-21 10:16:30,S018,C000926,Online,72.01,3.6,5,gen_20251127_091606,transactions_header.csv
T00008772,07/10/24,2024-07-10 18:38:57,S020,C001230,Card,$21.19,1.06,1,gen_20251127_091606,transactions_header.csv
T00006869,2024-08-24,2024-08-24 17:56:55,S010,C004411,Cash,73.15,3.66,5,gen_20251127_091606,transactions_header.csv
T00009690,07/14/24,2024-07-14 08:42:05,S020,C004681,Card,65.78,3.29,2,gen_20251127_091606,transactions_header.csv
T00019797,08/17/24,2024-08-17 14:51:36,S001,C003158,Cash,85.05,NA,4,gen_20251127_091607,transactions_header.csv
T00016506,11/07/24,2024-11-07 14:17:56,S024,C004796,Card,95.84,9.58,2,gen_20251127_091607,transactions_header.csv
T00010329,2024-07-18,2024-07-18 13:21:47,S008,C003411,Cash,90.34,0.0,1,gen_20251127_091606,transactions_header.csv
T00000452,2024-02-28,2024-02-28 05:39:28,S015,C001698,Cash,61.82,6.18,1,gen_20251127_091605,transactions_header.csv
T00013694,2024-03-17,2024-03-17 15:25:19,S028,C004763,Card,68.19,3.41,1,gen_20251127_091607,transactions_header.csv
T00000439,2024-07-19,2024-07-19 09:11:38,S006,C004581,Online,47.71,2.39,6,gen_20251127_091605,transactions_header.csv
T00008815,2024-04-14,2024-04-14 14:08:46,S011,C003959,Cash,58.74,0.0,4,gen_20251127_091606,transactions_header.csv
T00019494,2024-10-31,2024-10-31 19:43:19,S010,C002284,Online,77.04,7.7,2,gen_20251127_091607,transactions_header.csv
T00015372,2024-07-08,2024-07-08 16:03:56,S011,C004227,Online,95.49,14.32,1,gen_20251127_091607,transactions_header.csv
T00009961,06/16/24,2024-06-16 10:30:33,S007,C004255,Cash,$50.12,NA,3,gen_20251127_091606,transactions_header.csv
T00015958,2024-02-20,2024-02-20 19:14:23,S003,C002043,Card,$98.45,9.85,5,gen_20251127_091607,transactions_header.csv
T00005378,2024-03-08,2024-03-08 17:21:26,S029,C002601,Cash,51.08,,1,gen_20251127_091606,transactions_header.csv
T00007724,2024-12-28,2024-12-28 00:05:16,S023,C004793,Cash,50.28,,2,gen_20251127_091606,transactions_header.csv
T00011267,2024-08-24,2024-08-24 05:13:05,S017,C004643,Card,89.86,0.0,1,gen_20251127_091606,transactions_header.csv
T00013889,2024-12-04,2024-12-04 13:51:45,S001,C000282,Cash,69.01,6.9,1,gen_20251127_091607,transactions_header.csv
T00007200,06/30/24,2024-06-30 13:44:37,S006,C001878,Online,55.19,2.76,3,gen_20251127_091606,transactions_header.csv
T00012347,2024-03-10,2024-03-10 18:20:12,S030,C004668,Cash,17.58,1.76,3,gen_20251127_091607,transactions_header.csv
T00002146,09/19/24,2024-09-19 05:26:30,S012,C003681,Card,63.6,3.18,1,gen_20251127_091605,transactions_header.csv
T00005381,2024-02-01,2024-02-01 16:24:36,S021,C002977,cash,69.57,6.96,2,gen_20251127_091606,transactions_header.csv
T00009998,10/26/24,2024-10-26 03:13:50,S013,C004055,Cash,42.83,4.28,1,gen_20251127_091606,transactions_header.csv
T00017459,2024-04-28,2024-04-28 10:34:34,S003,C001033,Cash,52.9,0.0,3,gen_20251127_091607,transactions_header.csv
T00017933,2024-02-24,2024-02-24 04:56:05,S017,C000994,Online,36.92,5.54,1,gen_20251127_091607,transactions_header.csv
T00018951,10/15/24,2024-10-15 23:33:08,S020,C003765,Online,41.68,4.17,1,gen_20251127_091607,transactions_header.csv
T00017678,04/01/24,2024-04-01 18:22:39,S020,C001888,Card,47.09,4.71,1,gen_20251127_091607,transactions_header.csv
T00017237,11/02/24,2024-11-02 19:46:39,S005,,Online,22.81,2.28,4,gen_20251127_091607,transactions_header.csv
T00018249,2024-11-08,2024-11-08 12:25:54,S025,C004267,Cash,58.72,,1,gen_20251127_091607,transactions_header.csv
T00014431,2024-10-10,2024-10-10 13:58:31,S019,C002329,Cash,56.02,2.8,3,gen_20251127_091607,transactions_header.csv
T00002520,2024-09-08,2024-09-08 02:10:02,S016,C001203,Card,57.78,NA,4,gen_20251127_091605,transactions_header.csv
T00019648,2024-12-12,2024-12-12 13:05:03,S002,C004059,Cash,71.04,7.1,1,gen_20251127_091607,transactions_header.csv
T00001693,12/26/24,2024-12-26 11:28:58,S030,,Cash,52.24,5.22,6,gen_20251127_091605,transactions_header.csv
T00006254,01/30/24,2024-01-30 23:08:36,S019,C004261,Card,66.88,3.34,2,gen_20251127_091606,transactions_header.csv
T00015579,07/17/24,2024-07-17 00:18:33,S003,,Card,101.06,10.11,1,gen_20251127_091607,transactions_header.csv
T00019513,02/02/24,2024-02-02 21:22:40,S002,C003397,Card,57.44,0.0,2,gen_20251127_091607,transactions_header.csv
T00019378,12/13/24,2024-12-13 19:52:11,S025,C003242,Online,81.66,8.17,1,gen_20251127_091607,transactions_header.csv
T00004014,04/12/24,2024-04-12 03:35:21,S009,C000518,Online,52.58,0.0,1,gen_20251127_091606,transactions_header.csv
T00007242,02/16/24,2024-02-16 12:42:25,S016,C004469,Online,128.96,0.0,2,gen_20251127_091606,transactions_header.csv
T00019570,2024-01-04,2024-01-04 04:33:34,S017,C000563,Card,85.42,4.27,1,gen_20251127_091607,transactions_header.csv
T00017586,08/29/24,2024-08-29 15:07:38,S008,C004934,Cash,48.87,4.89,1,gen_20251127_091607,transactions_header.csv
T00007725,09/25/24,2024-09-25 11:44:05,S017,C003899,Cash,74.89,3.74,1,gen_20251127_091606,transactions_header.csv
T00009843,2024-12-04,2024-12-04 16:27:12,S002,C004879,Card,4.68,0.47,1,gen_20251127_091606,transactions_header.csv
T00015462,07/07/24,2024-07-07 08:56:21,S028,C002116,Online,33.11,0.0,6,gen_20251127_091607,transactions_header.csv
T00017192,07/25/24,2024-07-25 14:38:51,S009,C003508,Cash,85.61,0.0,1,gen_20251127_091607,transactions_header.csv
T00012248,2024-02-03,2024-02-03 00:11:50,S020,C004166,Card,39.34,5.9,5,gen_20251127_091607,transactions_header.csv
T00019718,2024-08-20,2024-08-20 02:24:56,S008,C000299,Card,119.95,12.0,2,gen_20251127_091607,transactions_header.csv
T00016125,03/02/24,2024-03-02 02:34:45,S024,C001726,Online,37.2,3.72,2,gen_20251127_091607,transactions_header.csv
T00008370,04/12/24,2024-04-12 22:42:17,S009,C001530,Online,58.89,8.83,2,gen_20251127_091606,transactions_header.csv
T00012632,02/23/24,2024-02-23 13:13:56,S024,C003081,Cash,40.37,2.02,1,gen_20251127_091607,transactions_header.csv
T00019630,09/26/24,2024-09-26 04:50:44,S008,C002698,Card,0,0.0,1,gen_20251127_091607,transactions_header.csv
T00007114,2024-12-18,2024-12-18 06:20:59,S009,C003916,Online,15.77,2.37,1,gen_20251127_091606,transactions_header.csv
T00015881,2024-01-02,2024-01-02 05:11:05,S006,C000610,Card,0,0.0,2,gen_20251127_091607,transactions_header.csv
T00001444,08/23/24,2024-08-23 12:26:26,S005,C001180,Card,73.98,0.0,1,gen_20251127_091605,transactions_header.csv
T00008204,2024-05-30,2024-05-30 22:11:26,S010,C003818,Cash,63.59,0.0,6,gen_20251127_091606,transactions_header.csv
T00019962,2024-06-20,2024-06-20 01:10:19,S025,C001081,Online,65.26,6.53,7,gen_20251127_091607,transactions_header.csv
T00014539,2024-07-16,2024-07-16 00:51:32,S018,C001366,Online,$25.37,1.27,1,gen_20251127_091607,transactions_header.csv
T00001053,08/13/24,2024-08-13 22:27:43,S007,C001414,cash,41.12,6.17,3,gen_20251127_091605,transactions_header.csv
T00010533,2024-12-11,2024-12-11 11:07:48,S012,C002244,Online,138.87,13.89,1,gen_20251127_091606,transactions_header.csv
T00017748,05/13/24,2024-05-13 13:44:11,S009,C000887,card,92.4,13.86,6,gen_20251127_091607,transactions_header.csv
T00016873,07/29/24,2024-07-29 22:33:24,S006,C004767,Online,47.85,2.39,1,gen_20251127_091607,transactions_header.csv
T00012121,2024-05-15,2024-05-15 03:10:32,S007,C000822,Online,56.24,8.44,1,gen_20251127_091607,transactions_header.csv
T00014013,10/23/24,2024-10-23 22:19:54,S007,NA,Card,109.4,10.94,1,gen_20251127_091607,transactions_header.csv
T00002642,2024-10-11,2024-10-11 06:46:57,S012,C001041,Cash,53.86,2.69,4,gen_20251127_091605,transactions_header.csv
T00011579,2024-02-04,2024-02-04 18:39:35,S013,C002626,Online,53.8,0.0,2,gen_20251127_091606,transactions_header.csv
T00013086,09/30/24,2024-09-30 01:01:24,S025,C000863,Online,20.09,1.0,1,gen_20251127_091607,transactions_header.csv
T00000219,2024-01-08,2024-01-08 11:20:30,S016,C000609,Cash,76.36,3.82,1,gen_20251127_091605,transactions_header.csv
T00007111,2024-06-08,2024-06-08 12:31:40,S002,C003759,Cash,63.04,6.3,7,gen_20251127_091606,transactions_header.csv
T00017658,2024-11-03,2024-11-03 16:44:35,S006,C002544,Online,$111.32,16.7,1,gen_20251127_091607,transactions_header.csv
T00009249,06/13/24,2024-06-13 12:04:31,S011,C002311,Card,14.95,0.75,6,gen_20251127_091606,transactions_header.csv
T00005307,2024-07-03,2024-07-03 13:15:13,S003,C001096,Online,78.21,11.73,1,gen_20251127_091606,transactions_header.csv
T00005787,05/30/24,2024-05-30 04:30:01,S004,C000815,Online,103.1,5.16,2,gen_20251127_091606,transactions_header.csv
T00007898,04/25/24,2024-04-25 17:10:44,S007,C003342,Cash,41.41,0.0,2,gen_20251127_091606,transactions_header.csv
T00003395,2024-01-27,2024-01-27 21:39:41,S023,C002382,Online,85.4,8.54,1,gen_20251127_091606,transactions_header.csv
T00018765,07/06/24,2024-07-06 03:47:22,S017,,Card,10.67,0.53,3,gen_20251127_091607,transactions_header.csv
T00000607,06/23/24,2024-06-23 01:37:10,S028,C002305,Card,55.31,5.53,2,gen_20251127_091605,transactions_header.csv
T00011287,05/26/24,2024-05-26 12:36:28,S013,C004412,Cash,16.21,NA,1,gen_20251127_091606,transactions_header.csv
T00004286,04/01/24,2024-04-01 11:45:19,S011,C002768,Online,93.97,,1,gen_20251127_091606,transactions_header.csv
T00008050,2024-03-05,2024-03-05 02:19:10,S030,C001654,Cash,73.32,,2,gen_20251127_091606,transactions_header.csv
T00016661,09/02/24,2024-09-02 04:12:05,S024,C001516,Cash,67.73,3.39,6,gen_20251127_091607,transactions_header.csv
T00018491,07/11/24,2024-07-11 14:07:01,S001,C003508,Online,62.84,,1,gen_20251127_091607,transactions_header.csv
T00007666,05/30/24,2024-05-30 00:06:03,S002,C002709,Online,8.96,,3,gen_20251127_091606,transactions_header.csv
T00003430,04/20/24,2024-04-20 14:15:11,S024,C004374,online,70.27,3.51,1,gen_20251127_091606,transactions_header.csv
T00004721,2024-07-29,2024-07-29 06:57:51,S007,C001721,Online,59.81,8.97,1,gen_20251127_091606,transactions_header.csv
T00016907,10/09/24,2024-10-09 12:57:45,S004,C003164,Online,$78.33,3.92,2,gen_20251127_091607,transactions_header.csv
T00018509,07/03/24,2024-07-03 00:23:06,S023,C000927,Cash,84.43,4.22,4,gen_20251127_091607,transactions_header.csv
T00008846,2024-12-30,2024-12-30 14:34:04,S007,C001742,Card,19.92,2.99,6,gen_20251127_091606,transactions_header.csv
T00018648,05/10/24,2024-05-10 08:23:03,S021,,Online,79.41,7.94,1,gen_20251127_091607,transactions_header.csv
T00018674,02/26/24,2024-02-26 18:48:29,S001,C002653,Cash,29.22,,3,gen_20251127_091607,transactions_header.csv
T00000994,06/28/24,2024-06-28 08:06:41,S015,C003071,cash,16.76,1.68,1,gen_20251127_091605,transactions_header.csv
T00003025,2024-06-08,2024-06-08 06:40:23,S028,C002937,Cash,34.75,5.21,2,gen_20251127_091606,transactions_header.csv
T00008916,10/01/24,2024-10-01 06:49:05,S007,C001721,Online,76.83,3.84,1,gen_20251127_091606,transactions_header.csv
T00004073,2024-11-25,2024-11-25 06:28:08,S010,NA,Online,$0.00,0.0,2,gen_20251127_091606,transactions_header.csv
T00011857,2024-04-08,2024-04-08 23:21:24,S025,C003076,card,26.63,0.0,2,gen_20251127_091607,transactions_header.csv
T00013069,2024-03-19,2024-03-19 10:10:50,S005,,Card,$48.38,2.42,1,gen_20251127_091607,transactions_header.csv
T00003223,2024-09-23,2024-09-23 12:57:28,S015,C002252,Cash,90.21,13.53,2,gen_20251127_091606,transactions_header.csv
T00004823,2024-01-06,2024-01-06 11:38:00,S010,,Online,95.17,4.76,2,gen_20251127_091606,transactions_header.csv
T00003847,04/05/24,2024-04-05 16:06:00,S019,C002810,Online,0,0.0,5,gen_20251127_091606,transactions_header.csv
T00003101,2024-09-26,2024-09-26 14:28:58,S023,,Online,100.76,10.08,4,gen_20251127_091606,transactions_header.csv
T00006614,2024-03-30,2024-03-30 06:53:54,S025,C004040,Cash,39.63,5.94,2,gen_20251127_091606,transactions_header.csv
T00018359,11/20/24,2024-11-20 16:48:04,S002,C003598,Card,0,0.0,1,gen_20251127_091607,transactions_header.csv
T00007535,2024-02-24,2024-02-24 04:18:02,S015,C003378,Card,47.57,0.0,3,gen_20251127_091606,transactions_header.csv
T00009894,01/22/24,2024-01-22 14:00:57,S005,C001113,Cash,61.91,6.19,2,gen_20251127_091606,transactions_header.csv
T00003965,2024-01-16,2024-01-16 07:58:37,S028,C004808,Card,43.29,2.16,1,gen_20251127_091606,transactions_header.csv
T00000829,2024-09-02,2024-09-02 22:42:24,S021,C002608,Card,$75.59,7.56,1,gen_20251127_091605,transactions_header.csv
T00018019,05/28/24,2024-05-28 06:06:59,S022,C000606,Card,56.98,2.85,1,gen_20251127_091607,transactions_header.csv
T00010591,2024-06-21,2024-06-21 11:18:21,S015,C001391,Card,6.38,NA,3,gen_20251127_091606,transactions_header.csv
T00000448,2024-09-18,2024-09-18 17:08:06,S001,C002960,Cash,37.53,NA,1,gen_20251127_091605,transactions_header.csv
T00006406,2024-09-03,2024-09-03 01:47:43,S011,C004212,Card,35.57,0.0,1,gen_20251127_091606,transactions_header.csv
T00003753,2024-02-14,2024-02-14 02:01:37,S018,C003917,Cash,$80.49,8.05,5,gen_20251127_091606,transactions_header.csv
T00002313,12/03/24,2024-12-03 14:46:25,S017,C003496,Online,44.46,2.22,1,gen_20251127_091605,transactions_header.csv
T00009017,02/16/24,2024-02-16 18:54:18,S002,C000162,Card,63.52,6.35,3,gen_20251127_091606,transactions_header.csv
T00016129,04/14/24,2024-04-14 01:53:14,S018,C002584,Cash,$93.41,4.67,2,gen_20251127_091607,transactions_header.csv
T00007827,08/25/24,2024-08-25 05:10:25,S022,C003495,Online,39.71,1.99,4,gen_20251127_091606,transactions_header.csv
T00016828,2024-11-14,2024-11-14 23:37:36,S009,C002094,Card,47.93,0.0,2,gen_20251127_091607,transactions_header.csv
T00010055,2024-05-10,2024-05-10 09:42:32,S019,C001075,Online,36.78,5.52,1,gen_20251127_091606,transactions_header.csv
T00016614,2024-09-02,2024-09-02 05:11:52,S021,C000857,card,37.66,1.88,1,gen_20251127_091607,transactions_header.csv
T00002233,2024-01-14,2024-01-14 09:00:51,S028,C004431,Cash,65.85,3.29,2,gen_20251127_091605,transactions_header.csv
T00008380,10/24/24,2024-10-24 13:43:38,S004,,Cash,67.52,0.0,2,gen_20251127_091606,transactions_header.csv
T00017826,2024-01-06,2024-01-06 04:33:45,S009,C003700,Cash,27.18,4.08,1,gen_20251127_091607,transactions_header.csv
T00013856,2024-04-12,2024-04-12 17:19:11,S006,C001704,Card,7.49,1.12,2,gen_20251127_091607,transactions_header.csv
T00002027,2024-06-14,2024-06-14 11:24:12,S003,C002572,Online,38.87,3.89,1,gen_20251127_091605,transactions_header.csv
T00003895,08/10/24,2024-08-10 18:03:53,S008,NA,online,58.93,5.89,2,gen_20251127_091606,transactions_header.csv
T00013915,2024-04-20,2024-04-20 06:37:13,S023,C003976,Card,76.57,7.66,3,gen_20251127_091607,transactions_header.csv
T00002784,10/20/24,2024-10-20 10:00:39,S025,C004598,Cash,27.71,1.39,2,gen_20251127_091605,transactions_header.csv
T00013403,2024-10-21,2024-10-21 13:25:20,S003,C001113,Card,55.43,8.31,1,gen_20251127_091607,transactions_header.csv
T00018367,2024-11-15,2024-11-15 05:35:18,S018,C000228,Card,44.56,2.23,5,gen_20251127_091607,transactions_header.csv
T00013144,08/10/24,2024-08-10 04:07:25,S029,C003777,Cash,60.83,6.08,1,gen_20251127_091607,transactions_header.csv
T00007792,2024-09-12,2024-09-12 09:34:16,S014,C000919,Card,58.69,0.0,1,gen_20251127_091606,transactions_header.csv
T00013174,2024-12-02,2024-12-02 15:56:08,S009,C004012,Online,98.34,9.83,1,gen_20251127_091607,transactions_header.csv
T00019369,05/09/24,2024-05-09 10:04:23,S016,C001676,Card,31.07,3.11,2,gen_20251127_091607,transactions_header.csv
T00014579,06/17/24,2024-06-17 15:31:13,S002,C001476,Cash,$38.32,5.75,1,gen_20251127_091607,transactions_header.csv
T00017068,02/07/24,2024-02-07 04:06:15,S028,C003886,Cash,36.45,3.65,5,gen_20251127_091607,transactions_header.csv
T00014692,02/26/24,2024-02-26 07:27:09,S016,C004580,Cash,47.01,2.35,3,gen_20251127_091607,transactions_header.csv
T00007021,01/20/24,2024-01-20 18:53:05,S020,C002510,Online,19.93,1.99,1,gen_20251127_091606,transactions_header.csv
T00002936,2024-06-22,2024-06-22 02:37:21,S029,C001334,Cash,13.81,0.0,2,gen_20251127_091606,transactions_header.csv
T00016706,12/17/24,2024-12-17 16:40:00,S002,C001018,Cash,95.51,0.0,2,gen_20251127_091607,transactions_header.csv
T00017872,2024-08-20,2024-08-20 18:38:01,S003,C001381,Online,22.0,1.1,2,gen_20251127_091607,transactions_header.csv
T00014002,05/15/24,2024-05-15 11:01:08,S006,C000739,Cash,52.56,7.88,2,gen_20251127_091607,transactions_header.csv
T00001536,2024-05-10,2024-05-10 15:25:47,S019,C002138,Online,103.88,5.19,5,gen_20251127_091605,transactions_header.csv
T00004405,08/23/24,2024-08-23 10:12:52,S014,C003483,Cash,$50.06,0.0,1,gen_20251127_091606,transactions_header.csv
T00005113,11/19/24,2024-11-19 23:11:15,S004,C003482,Cash,33.74,3.37,2,gen_20251127_091606,transactions_header.csv
T00019324,2024-10-20,2024-10-20 12:39:34,S008,C002524,Card,-45.01,6.75,3,gen_20251127_091607,transactions_header.csv
T00015048,2024-01-29,2024-01-29 12:41:29,S007,C001810,Card,67.65,3.38,1,gen_20251127_091607,transactions_header.csv
T00014948,2024-01-05,2024-01-05 00:31:11,S030,C003945,Cash,86.66,13.0,1,gen_20251127_091607,transactions_header.csv
T00012573,2024-12-02,2024-12-02 12:49:20,S015,C004324,Cash,7.28,0.73,8,gen_20251127_091607,transactions_header.csv
T00019552,01/26/24,2024-01-26 04:51:09,S002,C003485,Online,65.09,9.76,3,gen_20251127_091607,transactions_header.csv
T00017148,06/01/24,2024-06-01 22:01:51,S029,C004612,Online,0,0,3,gen_20251127_091607,transactions_header.csv
